S. No.,Customer Id,Sex,Age,Profile,Store,Product Id,Product Type,Model ID,Product Model,Model Age,RAM,Processor,Graphic,Battery,Price,Offer Number,Country,Area,City,Month,Year
236,10236,f,38,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,14,December,2015
237,10237,m,43,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,14,April,2015
238,10238,f,41,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,1,3,June,2015
239,10239,m,46,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,3,December,2015
240,10240,f,67,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,24,May,2015
241,10241,f,65,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,2,4,April,2015
242,10242,f,61,N,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,November,2015
243,10243,m,31,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,10,October,2015
244,10244,m,42,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,24,August,2015
245,10245,m,77,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,20,November,2015
246,10246,f,60,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,April,2015
247,10247,m,65,N,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,8,November,2015
248,10248,f,62,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,3,8,May,2015
249,10249,m,24,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,8,December,2015
250,10250,m,46,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,10,December,2015
251,10251,m,54,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,4,10,May,2015
252,10252,f,41,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,17,April,2015
253,10253,f,22,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,16,October,2015
254,10254,f,21,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,13,July,2015
255,10255,f,20,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,24,September,2015
256,10256,m,17,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,20,August,2015
257,10257,f,45,N,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,13,November,2015
258,10258,m,44,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,10,May,2015
259,10259,f,23,S,O,1,Laptop,11,Inspiron 15 3000,,,,,,"34,089.00",,1,2,5,July,2015
260,10260,m,29,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,6,November,2015
261,10261,f,31,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,5,December,2015
262,10262,m,36,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,24,May,2015
263,10263,f,37,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,1,November,2015
264,10264,m,45,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,December,2015
265,10265,m,49,B,O,2,Desktop,22,Inspiron 27 7000,,,,,,"97,290.00",,3,7,21,April,2015
266,10266,f,14,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,16,August,2015
267,10267,f,20,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,10,July,2015
268,10268,f,60,N,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,14,October,2015
269,10269,f,64,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,14,May,2015
270,10270,m,67,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,10,October,2015
271,10271,f,34,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,6,16,October,2015
272,10272,m,39,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,2,July,2015
273,10273,f,30,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,20,April,2015
274,10274,m,50,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,12,May,2015
275,10275,m,59,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,11,August,2015
276,10276,f,51,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,24,August,2015
277,10277,m,31,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,4,November,2015
278,10278,f,30,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,9,October,2015
279,10279,m,37,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,1,3,May,2015
280,10280,m,76,N,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,14,October,2015
281,10281,f,54,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,May,2015
282,10282,f,55,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,23,July,2015
283,10283,f,30,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,20,April,2015
284,10284,m,19,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,18,September,2015
285,10285,f,18,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,11,August,2015
286,10286,m,22,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,2,August,2015
287,10287,m,25,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,4,December,2015
288,10288,m,52,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,23,May,2015
289,10289,f,27,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,15,June,2015
290,10290,m,28,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,9,November,2015
291,10291,f,72,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,20,October,2015
292,10292,m,29,J,S,1,Laptop,13,XPS 9370,,,,,,"98,990.00",,1,1,3,October,2015
293,10293,f,18,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,23,July,2015
294,J,f,56,K,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,November,2015
295,10295,f,54,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,5,15,May,2015
296,10296,m,77,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,October,2015
297,10297,m,53,J,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,23,October,2015
298,10298,m,59,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,21,April,2015
299,10299,m,43,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,12,May,2015
300,10300,f,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,11,August,2015
301,10001,m,28,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,October,2016
302,10002,f,23,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,2,October,2016
303,10003,m,37,J,O,1,Laptop,14,Precision 5521,,16,7,8,56,"2,00,000.00",,1,2,4,September,2016
304,10004,f,21,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,11,September,2016
305,10005,f,22,S,O,1,Laptop,14,Precision 5521,,16,7,8,56,"2,00,000.00",,1,3,9,September,2016
306,10006,f,22,S,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,3,6,17,September,2016
307,10007,m,21,S,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,6,17,September,2016
308,10008,m,23,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,1,3,April,2016
309,10009,f,31,B,O,4,Server,42,PowerVault RD1001,,,,,,"74,130.00",,3,7,21,April,2016
310,10010,m,32,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,10,October,2016
311,10011,f,38,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,April,2016
312,10012,m,38,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,October,2016
313,10013,m,41,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,20,April,2016
314,10014,m,53,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,2,October,2016
315,10015,f,57,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,10,April,2016
316,10016,f,24,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,October,2016
317,10017,f,33,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,April,2016
318,10018,f,21,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,6,17,October,2016
319,10019,m,20,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,23,September,2016
320,10020,f,28,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,3,8,October,2016
321,10021,m,33,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,23,April,2016
322,10022,m,34,J,O,1,Laptop,12,Inspiron 15 7571,,8,5,2,42,"62,989.00",,1,1,1,October,2016
323,10023,f,28,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,October,2016
324,10024,f,32,J,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,10,October,2016
325,10025,f,63,N,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,3,6,18,October,2016
326,10026,m,65,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,14,September,2016
327,10027,m,63,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,2,November,2016
328,10028,f,26,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,7,21,November,2016
329,10029,f,27,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,14,April,2016
330,10030,f,41,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,April,2016
331,10031,m,24,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,22,November,2016
332,10032,f,48,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,6,18,September,2016
333,10033,m,29,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,8,November,2016
334,10034,f,27,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,10,November,2016
335,10035,m,25,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,3,7,April,2016
336,10036,m,23,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,21,August,2016
337,10037,m,20,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,22,August,2016
338,10038,f,19,S,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,14,August,2016
339,10039,f,32,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,6,November,2016
340,10040,f,42,N,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,7,20,November,2016
341,10041,f,59,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,13,May,2016
342,10042,m,37,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,6,May,2016
343,10043,m,48,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,6,18,November,2016
344,10044,m,63,N,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,20,November,2016
345,10045,m,78,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,10,October,2016
346,10046,m,21,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,17,August,2016
347,10047,m,26,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,2,5,May,2016
348,10048,m,38,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,1,December,2016
349,10049,f,31,J,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,13,December,2016
350,10050,f,52,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,May,2016
351,10051,m,26,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,7,December,2016
352,10052,m,29,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,5,December,2016
353,10053,f,28,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,11,December,2016
354,10054,f,26,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,4,11,October,2016
355,10055,f,68,N,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,3,7,19,November,2016
356,10056,m,53,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,13,August,2016
357,10057,f,57,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,11,May,2016
358,10058,m,22,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,6,16,August,2016
359,10059,m,27,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,1,December,2016
360,10060,m,63,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,8,22,July,2016
361,10061,f,66,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,August,2016
362,10062,m,68,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,6,16,December,2016
363,10063,m,47,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,2,May,2016
364,10064,m,25,S,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,July,2016
365,10065,f,36,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,13,May,2016
366,10066,f,24,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,7,19,November,2016
367,10067,m,23,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,7,October,2016
368,10068,m,22,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,19,July,2016
369,10069,m,35,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,June,2016
370,10070,m,41,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,12,October,2016
371,10071,f,33,J,O,1,Laptop,14,XPS 9370,,16,7,8,56,"98,990.00",,2,4,12,November,2016
372,10072,m,38,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,7,December,2016
373,10073,f,70,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,12,June,2016
374,10074,m,53,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,June,2016
375,10075,f,23,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,July,2016
376,10076,m,18,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,22,July,2016
377,10077,m,35,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,3,December,2016
378,10078,m,58,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,June,2016
379,10079,f,52,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,4,August,2016
380,10080,f,80,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,2,4,December,2016
381,10081,m,80,N,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,8,October,2016
382,10082,m,26,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,11,November,2016
383,10083,m,20,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,11,July,2016
384,10084,f,19,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,8,22,July,2016
385,10085,m,33,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,June,2016
386,10086,m,43,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,August,2016
387,10087,f,53,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,13,June,2016
388,10088,f,63,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,June,2016
389,10089,m,34,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,10,October,2016
390,10090,m,25,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,10,November,2016
391,10091,m,52,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,13,December,2016
392,10092,f,24,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,3,December,2016
393,10093,f,19,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,2,July,2016
394,10094,f,21,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,July,2016
395,10095,f,53,J,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,3,8,November,2016
396,10096,m,26,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,22,November,2016
397,10097,f,23,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,8,October,2016
398,10098,m,21,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,4,July,2016
399,10099,m,20,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,10,July,2016
400,10100,f,19,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,8,23,July,2016
401,10101,f,19,S,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,16,August,2017
402,10102,m,23,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,6,16,April,2017
403,10103,f,79,N,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,2,4,10,September,2017
404,10104,f,57,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,23,April,2017
405,10105,f,36,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,19,April,2017
406,10106,m,24,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,December,2017
407,10107,m,43,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,9,September,2017
408,10108,m,58,J,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,2,4,December,2017
409,10109,m,70,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,14,December,2017
410,10110,m,21,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,7,19,August,2017
411,10111,f,37,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,3,9,December,2017
412,10112,m,35,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,23,April,2017
413,10113,f,23,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,14,December,2017
414,10114,m,32,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,21,April,2017
415,10115,f,27,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,6,16,December,2017
416,10116,m,38,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,10,September,2017
417,10117,m,42,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,5,September,2017
418,10118,f,48,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,18,April,2017
419,10119,f,36,B,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,14,April,2017
420,10120,m,25,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,7,19,December,2017
421,10121,m,48,J,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,15,December,2017
422,10122,m,68,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,10,April,2017
423,10123,f,73,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,22,September,2017
424,10124,f,33,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,11,April,2017
425,10125,f,28,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,2,December,2017
426,10126,f,24,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,3,December,2017
427,10127,m,21,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,17,August,2017
428,10128,m,43,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,April,2017
429,10129,f,49,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,11,April,2017
430,10130,m,78,N,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,3,8,22,December,2017
431,10131,f,20,S,S,3,Gaming,31,Alienware 15,,,,,,"1,37,890.00",,2,4,11,August,2017
432,10132,m,53,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,4,April,2017
433,10133,f,43,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,May,2017
434,10134,f,26,J,O,1,Laptop,12,Inspiron 15 3000,,8,5,2,42,"34,089.00",,1,2,5,December,2017
435,10135,m,70,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,23,May,2017
436,10136,m,53,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,15,May,2017
437,10137,f,43,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,23,May,2017
438,10138,m,38,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,September,2017
439,10139,f,31,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,3,9,May,2017
440,10140,m,23,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,1,1,December,2017
441,10141,f,18,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,15,August,2017
442,10142,f,37,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,3,9,September,2017
443,10143,f,22,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,15,December,2017
444,10144,m,58,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,May,2017
445,10145,m,69,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,6,16,December,2017
446,10146,m,42,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,May,2017
447,10147,f,24,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,12,November,2017
448,10148,m,34,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,November,2017
449,10149,f,40,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,6,November,2017
450,10150,m,30,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,1,1,May,2017
451,10151,f,20,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,12,August,2017
452,10152,m,19,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,2,6,August,2017
453,10153,f,21,J,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,14,November,2017
454,10154,f,43,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,14,September,2017
455,10155,f,45,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,16,May,2017
456,10156,m,59,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,12,May,2017
457,10157,m,22,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,23,July,2017
458,10158,m,23,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,5,November,2017
459,10159,f,32,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,8,November,2017
460,10160,f,37,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,23,May,2017
461,10161,m,34,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,19,May,2017
462,10162,m,46,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,14,November,2017
463,10163,f,49,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,May,2017
464,10164,f,39,J,O,1,Laptop,22,Precision 5520,,8,7,4,0,"2,00,000.00",,1,3,8,September,2017
465,10165,m,34,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,1,November,2017
466,10166,m,23,B,S,1,Laptop,13,Inspiron 15 7572,,8,5,4,52,"62,989.00",,1,1,2,May,2017
467,10167,f,63,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,11,June,2017
468,10168,f,53,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,3,7,November,2017
469,10169,m,48,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,3,7,June,2017
470,10170,m,37,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,4,November,2017
471,10171,f,59,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,19,June,2017
472,10172,f,22,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,16,July,2017
473,10173,m,25,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,10,June,2017
474,10174,m,78,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,8,23,November,2017
